ZONE_CODE,CLASS2
1,D
2,X
3,X
4,G
5,D
6,P
7,D
8,D
9,F
10,F
11,P
12,D
13,F
14,G
15,D
16,D
17,D
18,P
19,P
20,V
21,D
22,D
23,D
24,P
25,D
26,F
27,X
28,D
29,X
30,D
31,D
32,D
33,F
34,D
35,D
36,V
37,P
38,D
39,D
40,D
41,V
42,D
43,X
44,D
45,D
46,D
47,D
48,X
49,D
50,D
51,D
52,D
53,V
54,V
55,X
56,X
57,D
58,D
59,G
60,V
61,D
62,D
63,X
64,D
65,D
66,C
67,X
68,P
69,D
70,D
71,F
72,V
73,D
74,X
75,D
76,X
77,D
78,V
79,V
80,X
81,D
82,P
83,D
84,X
85,D
86,P
87,F
88,X
89,D
90,P
91,F
92,P
93,X
94,P
95,P
96,D
97,D
98,F
99,X
100,X
101,D
102,D
103,X
104,P
105,P
106,D
107,F
108,F
109,G
110,F
111,P
112,X
113,V
114,P
115,D
116,D
117,F
118,P
119,F
120,F
121,X
122,P
123,D
124,D
125,P
126,X
127,D
128,D
129,F
130,X
131,F
132,X
133,P
134,G
135,X
136,D
137,G
138,F
139,F
140,P
141,P
142,P
143,T
144,D
145,F
146,D
147,X
148,D
149,F
150,X
151,F
152,G
153,F
154,D
155,F
156,D
157,D
158,X
159,X
160,P
161,P
162,F
163,P
164,D
165,D
166,F
167,T
168,F
169,X
170,YP
171,F
172,D
173,D
174,D
175,P
176,F
177,X
178,F
179,D
180,D
181,D
182,P
183,D
184,D
185,X
186,YP
187,X
188,D
189,D
190,D
191,X
192,D
193,C
194,D
195,D
196,P
197,YP
198,D
199,T
200,P
201,P
202,D
203,D
204,P
205,D
206,D
207,V
208,X
209,X
210,D
211,D
212,P
213,P
214,P
215,P
216,P
217,D
218,D
219,X
220,X
221,P
222,D
223,D
224,D
225,D
226,X
227,C
228,P
229,D
230,D
231,P
232,X
233,D
234,P
235,D
236,X
237,X
238,T
239,X
240,D
241,D
242,D
243,X
244,T
245,X
246,D
247,D
248,P
249,X
250,P
251,D
252,C
253,D
254,D
255,D
256,X
257,X
258,P
259,P
260,V
261,YP
262,D
263,D
264,X
265,P
266,D
267,P
268,V
269,P
270,D
271,X
272,D
273,D
274,X
275,X
276,D
277,P
278,X
279,P
280,G
281,X
282,X
283,D
284,D
285,D
286,D
287,D
288,X
289,D
290,V
291,D
292,D
293,P
294,D
295,X
296,D
297,D
298,V
299,G
300,X
301,X
302,D
303,D
304,X
305,P
306,X
307,X
308,V
309,X
310,X
311,D
312,YP
313,D
314,V
315,P
316,P
317,D
318,X
319,V
320,F
321,X
322,D
323,C
324,X
325,D
326,D
327,X
328,P
329,D
330,P
331,X
332,D
333,X
334,D
335,D
336,P
337,D
338,D
339,D
340,X
341,F
342,X
343,D
344,P
345,X
346,X
347,X
348,P
349,D
350,D
351,X
352,P
353,X
354,V
355,X
356,D
357,P
358,D
359,P
360,D
361,X
362,D
363,D
364,D
365,D
366,X
367,D
368,P
369,P
370,P
371,F
372,D
373,F
374,X
375,D
376,P
377,D
378,T
379,C
380,D
381,D
382,X
383,P
384,D
385,D
386,D
387,D
388,X
389,D
390,D
391,P
392,V
393,X
394,D
395,F
396,P
397,P
398,D
399,D
400,P
401,YP
402,D
403,D
404,D
405,P
406,D
407,D
408,X
409,D
410,P
411,D
412,D
413,T
414,F
415,X
416,P
417,D
418,X
419,X
420,D
421,D
422,D
423,D
424,X
425,P
426,V
427,D
428,D
429,D
430,X
431,X
432,P
433,D
434,D
435,D
436,X
437,X
438,X
439,D
440,D
441,D
442,X
443,D
444,D
445,X
446,X
447,D
448,D
449,P
450,V
451,P
452,P
453,P
454,T
455,X
456,P
457,D
458,X
459,C
460,X
461,D
462,X
463,G
464,X
465,V
466,D
467,T
468,D
469,D
470,X
471,X
472,D
473,X
474,D
475,X
476,P
477,T
478,P
479,X
480,D
481,X
482,X
483,D
484,T
485,D
486,D
487,G
488,F
489,F
490,F
491,D
492,F
493,P
494,X
495,F
496,D
497,F
498,D
499,F
500,X
501,D
502,D
503,X
504,D
505,F
506,F
507,F
508,F
509,X
510,X
511,P
512,D
513,G
514,D
515,V
516,F
517,T
518,P
519,F
520,D
521,D
522,P
523,G
524,P
525,X
526,T
527,F
528,F
529,X
530,T
531,V
532,YP
533,X
534,F
535,D
536,F
537,X
538,F
539,F
540,P
541,F
542,F
543,F
544,V
545,D
546,F
547,P
548,X
549,D
550,P
551,D
552,D
553,D
554,G
555,F
556,F
557,F
558,P
559,P
560,D
561,D
562,T
563,F
564,F
565,D
566,F
567,X
568,D
569,D
570,V
571,F
572,D
573,X
574,X
575,X
576,X
577,F
578,V
579,D
580,P
581,D
582,D
583,T
584,D
585,D
586,F
587,D
588,X
589,F
590,X
591,D
592,D
593,D
594,F
595,T
596,D
597,F
598,D
599,G
600,F
601,P
602,D
603,D
604,D
605,G
606,G
607,D
608,F
609,F
610,F
611,X
612,D
613,X
614,F
615,F
616,D
617,D
618,P
619,V
620,D
621,X
622,D
623,F
624,P
625,G
626,D
627,F
628,F
629,F
630,D
631,D
632,D
633,X
634,F
635,F
636,V
637,V
638,F
639,P
640,F
641,D
642,P
643,G
644,F
645,T
646,G
647,D
648,F
649,D
650,F
651,D
652,D
653,D
654,D
655,F
656,D
657,F
658,D
659,X
660,YP
661,G
662,D
663,F
664,F
665,D
666,D
667,D
668,X
669,F
670,T
671,X
672,F
673,D
674,D
675,F
676,X
677,F
678,F
679,V
680,P
681,F
682,F
683,T
684,F
685,D
686,G
687,F
688,D
689,F
690,F
691,D
692,D
693,D
694,D
695,D
696,F
697,D
698,D
699,D
700,F
701,D
702,D
703,D
704,F
705,X
706,D
707,V
708,D
709,X
710,X
711,F
712,D
713,D
714,D
715,F
716,V
717,G
718,D
719,D
720,V
721,D
722,D
723,V
724,D
725,D
726,D
727,V
728,D
729,F
730,G
731,G
732,G
733,D
734,X
735,D
736,P
737,X
738,X
739,F
740,P
741,P
742,D
743,F
744,D
745,F
746,F
747,D
748,F
749,F
750,X
751,YP
752,D
753,D
754,X
755,D
756,X
757,X
758,D
759,F
760,X
761,X
762,F
763,F
764,F
765,F
766,F
767,X
768,F
769,F
770,P
771,P
772,D
773,F
774,D
775,F
776,D
777,X
778,X
779,F
780,D
781,D
782,D
783,D
784,F
785,D
786,F
787,D
788,D
789,F
790,F
791,P
792,D
793,D
794,F
795,F
796,T
797,F
798,YP
799,F
800,F
801,F
802,F
803,G
804,P
805,X
806,YP
807,F
808,D
809,X
810,X
811,P
812,X
813,F
814,D
815,F
816,F
817,D
818,F
819,D
820,D
821,F
822,F
823,T
824,X
825,D
826,X
827,X
828,D
829,X
830,X
831,T
832,F
833,D
834,D
835,F
836,F
837,D
838,D
839,G
840,D
841,F
842,T
843,D
844,F
845,V
846,P
847,X
848,D
849,X
850,P
851,X
852,X
853,X
854,F
855,F
856,D
857,F
858,P
859,X
860,D
861,D
862,F
863,D
864,T
865,D
866,F
867,F
868,YP
869,D
870,D
871,F
872,P
873,D
874,D
875,D
876,D
877,D
878,P
879,D
880,G
881,P
882,P
883,D
884,D
885,F
886,F
887,F
888,YP
889,T
890,X
891,P
892,X
893,F
894,D
895,F
896,F
897,F
898,F
899,D
900,G
901,V
902,D
903,T
904,F
905,P
906,D
907,D
908,YP
909,F
910,F
911,F
912,D
913,D
914,F
915,F
916,D
917,D
918,F
919,P
920,P
921,V
922,F
923,F
924,C
925,D
926,F
927,T
928,F
929,D
930,D
931,P
932,V
933,P
934,P
935,D
936,D
937,D
938,G
939,G
940,C
941,D
942,D
943,X
944,D
945,D
946,X
947,X
948,G
949,D
950,D
951,P
952,F
953,D
954,X
955,D
956,X
957,F
958,D
959,P
960,X
961,P
962,G
963,G
964,X
965,D
966,F
967,D
968,D
969,P
970,F
971,X
972,D
973,D
974,P
975,P
976,C
977,X
978,T
979,D
980,X
981,D
982,X
983,F
984,F
985,D
986,F
987,D
988,T
989,X
990,F
991,X
992,D
993,F
994,X
995,F
996,P
997,X
998,D
999,F
1000,F
1001,F
1002,D
1003,D
1004,D
1005,V
1006,C
1007,F
1008,F
1009,F
1010,F
1011,D
1012,D
1013,D
1014,P
1015,D
1016,F
1017,X
1018,X
1019,C
1020,D
1021,D
1022,X
1023,D
1024,D
1025,F
1026,G
1027,D
1028,F
1029,F
1030,D
1031,D
1032,F
1033,P
1034,D
1035,V
1036,D
1037,F
1038,D
1039,X
1040,D
1041,D
1042,F
1043,T
1044,F
1045,F
1046,D
1047,F
1048,X
1049,D
1050,D
1051,D
1052,D
1053,X
1054,YP
1055,D
1056,D
1057,F
1058,D
1059,D
1060,D
1061,X
1062,T
1063,X
1064,YP
1065,D
1066,P
1067,D
1068,F
1069,D
1070,F
1071,D
1072,F
1073,D
1074,D
1075,V
1076,D
1077,F
1078,D
1079,F
1080,G
1081,D
1082,D
1083,P
1084,X
1085,F
1086,F
1087,D
1088,D
1089,D
1090,D
1091,D
1092,D
1093,P
1094,F
1095,X
1096,D
1097,F
1098,X
1099,P
1100,F
1101,G
1102,X
1103,D
1104,D
1105,D
1106,G
1107,F
1108,F
1109,F
1110,D
1111,F
1112,D
1113,F
1114,YP
1115,F
1116,D
1117,D
1118,X
1119,D
1120,D
1121,T
1122,D
1123,F
1124,T
1125,F
1126,D
1127,T
1128,D
1129,D
1130,F
1131,D
1132,V
1133,F
1134,D
1135,D
1136,G
1137,D
1138,V
1139,P
1140,F
1141,X
1142,F
1143,D
1144,D
1145,D
1146,D
1147,D
1148,D
1149,X
1150,D
1151,G
1152,P
1153,D
1154,G
1155,F
1156,F
1157,P
1158,G
1159,X
1160,F
1161,F
1162,X
1163,F
1164,X
1165,V
1166,F
1167,G
1168,D
1169,G
1170,G
1171,D
1172,D
1173,F
1174,D
1175,D
1176,T
1177,T
1178,X
1179,T
1180,F
1181,D
1182,V
1183,P
1184,D
1185,D
1186,F
1187,D
1188,D
1189,P
1190,F
1191,G
1192,F
1193,T
1194,F
1195,D
1196,F
1197,D
1198,F
1199,YP
1200,D
1201,F
1202,D
1203,D
1204,D
1205,T
1206,X
1207,X
1208,F
1209,F
1210,F
1211,T
1212,D
1213,F
1214,P
1215,D
1216,F
1217,X
1218,D
1219,D
1220,F
1221,D
1222,D
1223,P
1224,F
1225,D
1226,D
1227,YP
1228,F
1229,F
1230,C
1231,D
1232,G
1233,X
1234,G
1235,F
1236,P
1237,F
1238,X
1239,D
1240,P
1241,X
1242,D
1243,P
1244,P
1245,X
1246,D
1247,F
1248,F
1249,X
1250,P
1251,D
1252,P
1253,YP
1254,X
1255,D
1256,D
1257,F
1258,D
1259,D
1260,D
1261,F
1262,F
1263,F
1264,F
1265,T
1266,F
1267,D
1268,P
1269,D
1270,F
1271,D
1272,F
1273,D
1274,F
1275,P
1276,G
1277,X
1278,D
1279,D
1280,D
1281,F
1282,D
1283,P
1284,D
1285,D
1286,D
1287,F
1288,X
1289,D
1290,D
1291,D
1292,F
1293,D
1294,D
1295,P
1296,D
1297,D
1298,F
1299,F
1300,D
1301,F
1302,X
1303,D
1304,F
1305,D
1306,F
1307,V
1308,P
1309,V
1310,D
1311,D
1312,D
1313,D
1314,X
1315,D
1316,F
1317,F
1318,F
1319,D
1320,F
1321,X
1322,F
1323,D
1324,D
1325,D
1326,D
1327,F
1328,F
1329,P
1330,D
1331,F
1332,D
1333,F
1334,D
1335,F
1336,T
1337,D
1338,D
1339,F
1340,F
1341,D
1342,D
1343,D
1344,D
1345,X
1346,D
1347,D
1348,D
1349,D
1350,G
1351,D
1352,F
1353,D
1354,D
1355,G
1356,T
1357,F
1358,D
1359,P
1360,X
1361,F
1362,D
1363,F
1364,D
1365,P
1366,T
1367,F
1368,G
1369,T
1370,D
1371,F
1372,D
1373,G
1374,P
1375,V
1376,D
1377,T
1378,D
1379,T
1380,F
1381,F
1382,X
1383,D
1384,D
1385,X
1386,X
1387,D
1388,D
1389,D
1390,D
1391,D
1392,F
1393,X
1394,F
1395,X
1396,D
1397,D
1398,D
1399,P
1400,D
1401,X
1402,F
1403,G
1404,F
1405,D
1406,D
1407,D
1408,D
1409,D
1410,F
1411,P
1412,P
1413,P
1414,D
1415,D
1416,D
1417,D
1418,F
1419,D
1420,X
1421,F
1422,F
1423,F
1424,F
1425,F
1426,F
1427,F
1428,F
1429,X
1430,D
1431,P
1432,D
1433,D
1434,F
1435,D
1436,F
1437,G
1438,F
1439,F
1440,V
1441,F
1442,D
1443,F
1444,F
1445,X
1446,F
1447,X
1448,F
1449,T
1450,D
1451,X
1452,F
1453,F
1454,D
1455,X
1456,X
1457,V
1458,D
1459,D
1460,F
1461,D
1462,F
1463,F
1464,X
1465,D
1466,F
1467,D
1468,P
1469,F
1470,D
1471,F
1472,V
1473,D
1474,V
1475,D
1476,X
1477,D
1478,F
1479,F
1480,X
1481,G
1482,X
1483,D
1484,P
1485,X
1486,T
1487,D
1488,X
1489,P
1490,D
1491,V
1492,P
1493,F
1494,G
1495,D
1496,P
1497,D
1498,F
1499,D
1500,D
1501,F
1502,P
1503,G
1504,F
1505,F
1506,F
1507,F
1508,X
1509,D
1510,D
1511,X
1512,F
1513,X
1514,P
1515,D
1516,D
1517,D
1518,D
1519,F
1520,X
1521,P
1522,F
1523,D
1524,D
1525,X
1526,D
1527,D
1528,X
1529,X
1530,V
1531,D
1532,F
1533,X
1534,D
1535,D
1536,D
1537,F
1538,P
1539,X
1540,X
1541,P
1542,X
1543,F
1544,D
1545,F
1546,D
1547,F
1548,F
1549,X
1550,D
1551,X
1552,X
1553,F
1554,P
1555,D
1556,F
1557,D
1558,X
1559,T
1560,X
1561,D
1562,P
1563,F
1564,F
1565,D
1566,F
1567,X
1568,P
1569,D
1570,P
1571,D
1572,F
1573,D
1574,D
1575,D
1576,F
1577,D
1578,F
1579,X
1580,D
1581,D
1582,D
1583,F
1584,F
1585,F
1586,F
1587,F
1588,F
1589,D
1590,T
1591,F
1592,P
1593,D
1594,F
1595,F
1596,D
1597,F
1598,G
1599,G
1600,T
1601,X
1602,D
1603,D
1604,D
1605,D
1606,X
1607,D
1608,F
1609,F
1610,F
1611,F
1612,D
1613,F
1614,D
1615,F
1616,X
1617,G
1618,D
1619,F
1620,D
1621,D
1622,D
1623,G
1624,G
1625,F
1626,X
1627,D
1628,X
1629,D
1630,T
1631,P
1632,D
1633,YP
1634,P
1635,D
1636,D
1637,D
1638,F
1639,D
1640,P
1641,F
1642,D
1643,F
1644,X
1645,YP
1646,P
1647,D
1648,F
1649,F
1650,F
1651,D
1652,D
1653,P
1654,G
1655,F
1656,P
1657,P
1658,F
1659,X
1660,T
1661,D
1662,D
1663,D
1664,D
1665,D
1666,D
1667,T
1668,F
1669,D
1670,G
1671,F
1672,D
1673,X
1674,D
1675,G
1676,F
1677,D
1678,F
1679,P
1680,C
1681,F
1682,X
1683,D
1684,F
1685,D
1686,X
1687,P
1688,D
1689,F
1690,D
1691,YP
1692,D
1693,D
1694,D
1695,D
1696,F
1697,D
1698,F
1699,D
1700,X
1701,F
1702,F
1703,D
1704,F
1705,F
1706,D
1707,D
1708,G
1709,D
1710,C
1711,X
1712,D
1713,X
1714,D
1715,X
1716,X
1717,D
1718,D
1719,YP
1720,D
1721,X
1722,F
1723,YP
1724,D
1725,D
1726,X
1727,F
1728,D
1729,D
1730,X
1731,YP
1732,G
1733,X
1734,D
1735,P
1736,D
1737,P
1738,F
1739,X
1740,D
1741,F
1742,X
1743,X
1744,F
1745,D
1746,X
1747,D
1748,P
1749,D
1750,D
1751,D
1752,D
1753,F
1754,F
1755,D
1756,F
1757,D
1758,D
1759,T
1760,F
1761,D
1762,D
1763,F
1764,F
1765,F
1766,D
1767,G
1768,T
1769,D
1770,F
1771,D
1772,F
1773,X
1774,X
1775,F
1776,G
1777,P
1778,P
1779,D
1780,D
1781,F
1782,X
1783,D
1784,D
1785,P
1786,D
1787,D
1788,D
1789,F
1790,D
1791,X
1792,F
1793,D
1794,F
1795,X
1796,D
1797,X
1798,F
1799,D
1800,D
1801,D
1802,F
1803,F
1804,D
1805,D
1806,F
1807,D
1808,F
1809,F
1810,P
1811,F
1812,P
1813,D
1814,X
1815,X
1816,D
1817,F
1818,D
1819,X
1820,D
1821,D
1822,X
1823,D
1824,X
1825,D
1826,D
1827,T
1828,D
1829,D
1830,X
1831,D
1832,D
1833,P
1834,F
1835,D
1836,D
1837,D
1838,F
1839,X
1840,X
1841,D
1842,T
1843,F
1844,D
1845,D
1846,D
1847,F
1848,F
1849,X
1850,T
1851,G
1852,G
1853,D
1854,D
1855,F
1856,P
1857,X
1858,D
1859,F
1860,D
1861,X
1862,D
1863,F
1864,F
1865,X
1866,YP
1867,F
1868,P
1869,D
1870,F
1871,D
1872,X
1873,X
1874,D
1875,D
1876,F
1877,F
1878,G
1879,F
1880,F
1881,D
1882,F
1883,X
1884,D
1885,P
1886,G
1887,X
1888,D
1889,D
1890,D
1891,D
1892,D
1893,P
1894,D
1895,G
1896,X
1897,F
1898,X
1899,T
1900,D
1901,G
1902,F
1903,F
1904,D
1905,D
1906,F
1907,G
1908,V
1909,F
1910,D
1911,D
1912,F
1913,X
1914,X
1915,X
1916,D
1917,F
1918,D
1919,T
1920,P
1921,T
1922,F
1923,F
1924,F
1925,F
1926,D
1927,G
1928,D
1929,D
1930,F
1931,D
1932,F
1933,F
1934,X
1935,X
1936,F
1937,D
1938,G
1939,X
1940,F
1941,F
1942,F
1943,C
1944,D
1945,D
1946,D
1947,F
1948,F
1949,D
1950,T
1951,X
1952,D
1953,F
1954,P
1955,P
1956,D
1957,P
1958,F
1959,D
1960,P
1961,X
1962,X
1963,D
1964,F
1965,F
1966,D
1967,F
1968,G
1969,D
1970,X
1971,D
1972,F
1973,X
1974,D
1975,X
1976,T
1977,YP
1978,D
1979,F
1980,D
1981,F
1982,F
1983,D
1984,YP
1985,X
1986,T
1987,D
1988,D
1989,F
1990,P
1991,F
1992,D
1993,X
1994,F
1995,D
1996,D
1997,F
1998,D
1999,D
2000,T
2001,F
2002,D
2003,D
2004,G
2005,F
2006,P
2007,P
2008,X
2009,T
2010,T
2011,X
2012,V
2013,D
2014,D
2015,D
2016,F
2017,D
2018,F
2019,D
2020,D
2021,F
2022,D
2023,F
2024,F
2025,D
2026,T
2027,D
2028,F
2029,D
2030,P
2031,D
2032,D
2033,T
2034,V
2035,P
2036,D
2037,D
2038,F
2039,X
2040,P
2041,F
2042,D
2043,YP
2044,D
2045,D
2046,T
2047,P
2048,D
2049,D
2050,D
2051,X
2052,P
2053,D
2054,D
2055,F
2056,D
2057,V
2058,F
2059,D
2060,YP
2061,D
2062,X
2063,D
2064,D
2065,X
2066,T
2067,D
2068,V
2069,P
2070,F
2071,D
2072,G
2073,F
2074,D
2075,X
2076,D
2077,F
2078,X
2079,F
2080,D
2081,D
2082,D
2083,T
2084,C
2085,D
2086,F
2087,D
2088,D
2089,D
2090,X
2091,X
2092,X
2093,D
2094,V
2095,P
2096,D
2097,D
2098,D
2099,YP
2100,G
2101,F
2102,F
2103,P
2104,F
2105,F
2106,X
2107,D
2108,D
2109,D
2110,D
2111,F
2112,D
2113,F
2114,D
2115,F
2116,X
2117,D
2118,D
2119,D
2120,YP
2121,G
2122,D
2123,X
2124,X
2125,V
2126,D
2127,F
2128,D
2129,X
2130,F
2131,D
2132,F
2133,X
2134,D
2135,F
2136,D
2137,F
2138,F
2139,X
2140,D
2141,D
2142,X
2143,D
2144,D
2145,P
2146,X
2147,D
2148,F
2149,X
2150,F
2151,F
2152,T
2153,F
2154,F
2155,G
2156,D
2157,D
2158,D
2159,D
2160,D
2161,G
2162,F
2163,X
2164,D
2165,X
2166,D
2167,D
2168,D
2169,X
2170,F
2171,F
2172,V
2173,F
2174,G
2175,F
2176,X
2177,D
2178,F
2179,D
2180,F
2181,X
2182,P
2183,D
2184,D
2185,D
2186,F
2187,X
2188,D
2189,D
2190,F
2191,D
2192,X
2193,D
2194,G
2195,F
2196,F
2197,F
2198,X
2199,D
2200,D
2201,X
2202,P
2203,F
2204,D
2205,X
2206,G
2207,X
2208,D
2209,X
2210,X
2211,D
2212,G
2213,P
2214,P
2215,F
2216,D
2217,D
2218,D
2219,F
2220,G
2221,G
2222,D
2223,G
2224,V
2225,F
2226,D
2227,D
2228,D
2229,F
2230,F
2231,X
2232,F
2233,YP
2234,F
2235,D
2236,P
2237,D
2238,P
2239,F
2240,D
2241,G
2242,D
2243,D
2244,X
2245,F
2246,D
2247,D
2248,F
2249,D
