Answers,Predictions,,,,,,,,
X,T,,,,,,,,
C,C,,,,,,,,34
D,D,,,,,,,,13
F,D,,,,,,,,4
F,T,,,,,,,,59
F,F,,,,,,,,42
D,D,,,,,,,,182
D,D,,,,,,,,611
D,D,,,,,,,,176
V,V,,,,,,,,40
D,V,,,,,,,,
X,D,,,,,,,,
F,F,,,,,,,,
V,D,,,,,,,,
C,C,,,,,,,,
F,F,,,,,,,,
T,T,,,,,,,,
F,D,,,,,,,,
D,F,,,,,,,,
F,F,,,,,,,,
C,C,,,,,,,,
C,X,,,,,,,,
P,D,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
X,D,,,,,,,,
V,V,,,,,,,,
V,V,,,,,,,,
D,F,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
X,C,,,,,,,,
D,D,,,,,,,,
X,T,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
X,D,,,,,,,,
D,D,,,,,,,,
D,C,,,,,,,,
T,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
Y,D,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
X,D,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
F,T,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
D,C,,,,,,,,
V,F,,,,,,,,
F,F,,,,,,,,
C,C,,,,,,,,
D,C,,,,,,,,
Y,D,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
C,D,,,,,,,,
P,F,,,,,,,,
X,X,,,,,,,,
C,D,,,,,,,,
D,V,,,,,,,,
V,V,,,,,,,,
C,C,,,,,,,,
F,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
V,V,,,,,,,,
V,D,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
Y,V,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
Y,T,,,,,,,,
D,D,,,,,,,,
D,C,,,,,,,,
D,C,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,F,,,,,,,,
V,D,,,,,,,,
V,V,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
X,C,,,,,,,,
D,V,,,,,,,,
V,V,,,,,,,,
D,V,,,,,,,,
G,D,,,,,,,,
D,D,,,,,,,,
P,F,,,,,,,,
D,D,,,,,,,,
C,C,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
T,V,,,,,,,,
X,X,,,,,,,,
T,T,,,,,,,,
X,T,,,,,,,,
D,X,,,,,,,,
D,D,,,,,,,,
V,D,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
F,F,,,,,,,,
C,C,,,,,,,,
G,C,,,,,,,,
C,C,,,,,,,,
V,D,,,,,,,,
F,F,,,,,,,,
F,F,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
V,V,,,,,,,,
C,C,,,,,,,,
X,T,,,,,,,,
Y,V,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
F,D,,,,,,,,
X,C,,,,,,,,
D,F,,,,,,,,
C,C,,,,,,,,
X,D,,,,,,,,
F,F,,,,,,,,
X,X,,,,,,,,
C,C,,,,,,,,
G,F,,,,,,,,
D,D,,,,,,,,
V,C,,,,,,,,
P,X,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
G,D,,,,,,,,
X,V,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
T,V,,,,,,,,
D,D,,,,,,,,
C,D,,,,,,,,
F,F,,,,,,,,
C,C,,,,,,,,
V,V,,,,,,,,
T,D,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
D,C,,,,,,,,
Y,T,,,,,,,,
D,D,,,,,,,,
V,C,,,,,,,,
F,D,,,,,,,,
V,C,,,,,,,,
C,C,,,,,,,,
C,D,,,,,,,,
T,X,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
V,V,,,,,,,,
T,D,,,,,,,,
D,D,,,,,,,,
V,D,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
C,C,,,,,,,,
D,C,,,,,,,,
V,D,,,,,,,,
F,F,,,,,,,,
T,D,,,,,,,,
C,C,,,,,,,,
V,D,,,,,,,,
C,C,,,,,,,,
T,T,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
C,C,,,,,,,,
Y,D,,,,,,,,
D,C,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
D,V,,,,,,,,
F,C,,,,,,,,
D,D,,,,,,,,
C,C,,,,,,,,
V,V,,,,,,,,
T,X,,,,,,,,
T,G,,,,,,,,
V,D,,,,,,,,
D,D,,,,,,,,
X,C,,,,,,,,
X,C,,,,,,,,
V,C,,,,,,,,
F,T,,,,,,,,
V,V,,,,,,,,
F,D,,,,,,,,
V,C,,,,,,,,
Y,V,,,,,,,,
X,C,,,,,,,,
F,F,,,,,,,,
X,D,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
F,D,,,,,,,,
D,X,,,,,,,,
D,D,,,,,,,,
V,V,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
X,V,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
F,D,,,,,,,,
C,C,,,,,,,,
F,F,,,,,,,,
D,F,,,,,,,,
D,D,,,,,,,,
G,F,,,,,,,,
C,D,,,,,,,,
G,D,,,,,,,,
C,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
