Answers,Predictions,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
X,X,,,,,,,,
F,F,,,,,,,,
D,D,,,,,,,,0
D,C,,,,,,,,0
T,T,,,,,,,,0
C,C,,,,,,,,0
T,T,,,,,,,,0
F,F,,,,,,,,994
F,F,,,,,,,,3017
V,V,,,,,,,,704
D,C,,,,,,,,42
T,T,,,,,,,,
X,X,,,,,,,,0
C,C,,,,,,,,1165
D,V,,,,,,,,432
D,D,,,,,,,,3814
X,X,,,,,,,,1219
T,T,,,,,,,,0
X,X,,,,,,,,0
V,V,,,,,,,,0
V,V,,,,,,,,0
C,C,,,,,,,,
D,D,,,,,,,,0
D,D,,,,,,,,391
D,V,,,,,,,,2062
V,V,,,,,,,,2309
C,D,,,,,,,,1264
X,X,,,,,,,,0
V,D,,,,,,,,0
D,D,,,,,,,,0
D,D,,,,,,,,0
C,C,,,,,,,,
D,D,,,,,,,,
T,T,,,,,,,,
C,C,,,,,,,,
X,X,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
V,V,,,,,,,,
X,X,,,,,,,,
D,D,,,,,,,,
D,C,,,,,,,,
C,D,,,,,,,,
C,C,,,,,,,,
G,F,,,,,,,,
D,D,,,,,,,,
G,T,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
C,C,,,,,,,,
X,X,,,,,,,,
F,F,,,,,,,,
P,F,,,,,,,,
X,X,,,,,,,,
G,T,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
G,G,,,,,,,,
P,F,,,,,,,,
V,D,,,,,,,,
D,C,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
F,F,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
V,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
D,D,,,,,,,,
P,F,,,,,,,,
D,C,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
F,F,,,,,,,,
C,C,,,,,,,,
T,T,,,,,,,,
X,X,,,,,,,,
X,X,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
V,D,,,,,,,,
C,C,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
V,D,,,,,,,,
T,T,,,,,,,,
D,D,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
C,C,,,,,,,,
T,F,,,,,,,,
C,C,,,,,,,,
P,F,,,,,,,,
D,D,,,,,,,,
X,X,,,,,,,,
D,D,,,,,,,,
F,T,,,,,,,,
V,V,,,,,,,,
V,D,,,,,,,,
V,V,,,,,,,,
D,D,,,,,,,,
