Answers,Predictions
D,V
C,C
D,C
C,C
X,F
V,V
D,T
D,D
C,C
D,T
X,D
T,D
C,V
D,D
V,D
C,C
V,D
F,D
D,D
C,C
D,D
D,D
V,C
D,D
C,C
Y,D
D,C
P,F
C,C
F,D
D,D
P,C
C,C
P,F
P,F
D,D
D,D
C,C
D,C
T,D
P,D
F,T
C,D
D,D
V,V
D,D
C,C
D,D
X,D
X,C
V,D
X,D
D,D
F,D
C,C
D,D
D,D
D,T
C,C
D,V
C,C
C,C
X,C
X,D
V,V
T,D
C,C
V,D
X,V
V,D
D,D
V,D
C,C
T,V
D,D
Y,D
F,D
C,C
X,V
X,V
C,C
D,D
F,F
C,C
D,D
C,D
D,D
D,D
C,C
Y,D
D,D
X,D
C,D
X,V
P,D
D,D
D,D
D,D
F,F
Y,D
D,D
X,V
D,D
X,C
C,C
X,V
P,D
C,C
G,V
V,D
X,C
X,D
P,T
X,T
D,D
G,C
V,D
C,C
D,C
G,D
V,V
V,D
D,D
C,C
F,D
V,V
D,D
D,D
C,C
X,C
T,D
D,D
P,D
C,C
C,C
V,V
V,C
C,C
T,V
D,D
D,D
T,T
D,D
Y,D
T,D
V,V
D,D
T,C
C,C
C,C
V,V
C,C
F,F
Y,V
D,D
C,D
V,D
P,F
V,C
X,D
D,D
V,V
X,V
C,C
V,V
G,G
V,D
D,V
D,D
D,F
F,D
C,C
C,C
X,D
V,V
T,D
V,C
C,C
V,C
V,D
D,D
G,F
C,C
D,D
D,V
V,V
V,D
D,F
Y,C
C,C
X,D
C,C
C,C
V,V
D,D
X,D
D,D
V,V
G,D
X,D
P,D
D,D
V,C
C,D
X,D
V,V
D,D
P,D
D,T
C,X
C,D
C,C
D,F
D,D
V,V
T,D
C,C
V,D
C,C
V,V
C,V
G,D
V,V
F,D
V,V
Y,D
D,D
D,V
D,D
C,C
F,T
V,D
X,D
V,D
C,C
T,T
D,C
D,D
V,V
X,D
T,T
X,D
F,D
F,F
V,V
X,T
D,D
C,C
Y,V
D,C
D,V
D,D
G,D
V,V
D,D
X,D
X,D
F,T
C,C
P,C
G,T
F,D
D,D
F,D
D,D
D,C
C,C
D,F
D,D
D,V
T,V
Y,Y
F,D
D,D
V,D
D,D
T,D
C,C
T,D
X,X
C,C
T,D
X,V
G,D
F,D
D,F
D,F
C,C
D,D
C,D
D,D
C,C
D,D
T,F
F,D
D,D
F,D
T,D
C,C
D,D
X,T
X,D
V,V
X,D
P,D
D,D
D,D
D,D
V,V
D,D
C,C
C,C
C,C
C,V
D,D
D,V
P,D
V,V
V,V
D,D
D,D
V,D
V,V
T,D
P,D
Y,D
D,F
D,D
C,D
C,C
Y,C
C,C
D,D
X,C
D,D
P,V
X,D
X,V
F,D
C,C
D,V
D,T
V,V
D,D
V,V
G,P
G,D
F,F
C,C
C,C
X,D
P,D
C,D
F,F
V,V
V,V
D,D
X,D
D,D
Y,D
D,X
D,D
G,D
X,D
P,F
D,D
X,V
F,F
V,V
V,D
D,D
D,D
X,C
C,D
C,C
X,D
D,D
D,D
C,C
G,C
D,V
F,D
C,C
V,C
C,C
G,D
C,D
V,D
C,C
D,T
G,D
X,D
V,V
D,D
C,C
D,C
T,D
D,V
V,V
D,D
C,C
C,C
X,C
G,C
D,C
F,D
D,D
C,C
X,D
P,D
C,C
F,F
V,D
C,C
D,D
X,D
D,V
C,C
D,D
D,D
D,D
T,T
F,D
C,C
D,C
F,D
D,T
C,C
F,F
T,T
X,X
Y,D
D,D
G,F
D,D
V,D
D,X
P,F
F,F
C,C
C,C
V,D
C,C
C,C
X,V
F,D
D,D
T,D
D,F
C,D
X,D
D,C
V,D
V,X
V,C
X,D
X,C
D,D
D,F
V,D
X,D
D,D
F,T
D,C
X,C
G,D
D,D
Y,C
C,P
V,C
D,D
D,V
D,D
C,C
X,C
X,D
V,D
C,C
D,V
D,D
Y,C
X,C
C,C
C,C
C,D
V,D
D,V
D,D
Y,C
D,D
V,D
C,D
D,V
P,D
X,V
P,C
D,V
P,D
D,D
C,C
P,D
X,X
P,D
C,D
D,D
V,V
P,X
X,C
C,C
D,D
F,D
Y,D
C,V
D,V
C,D
X,D
V,V
V,D
X,D
T,D
D,V
Y,C
V,D
V,D
G,D
C,C
D,C
V,V
